Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
dell,$171.00 ,black,Wi-Fi,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.","our laptops go through an intensive 41-point inspection. refurbished by certified professionals, this laptop comes with a 90-day warranty. our laptops are in very good refurbished condition, which means they may have scratches, scuffs, and/or small dings which do not affect the functionality of the laptop. these pictures are representative of the condition of the unit you will receive. the ports that are pictured may not be on your unit. please contact us to confirm if there is a specific port you are looking for. if you have any questions regarding our cosmetic grading, please feel free to ask us. f5, c6 - non-data; very good - refurbished",intel,intel core i5 8th generation,1.7,GHz,notebook/laptop,,,windows,ssd,,unknown,500,gb,14,16,gb
lenovo,$35.00 ,black,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",great cosmetic condition - only minor wear,intel,intel celeron n,1,GHz,other,1366,768,chrome,ssd,16,gb,,tb,11.6,4,gb
hp,$949.50 ,black,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",Certified - Refurbished,"The item is in a pristine, like-new condition. It has been professionally inspected, cleaned, and refurbished by the manufacturer or a manufacturer-approved vendor to meet manufacturer specifications. The item will be in new packaging with original or new accessories. See the seller's listing for full details.",factory certified refurbished item in hp sealed box and comes with 2 year allstate warranty (valid in usa only).,nvidia,amd ryzen 7 7840hs,5.1,GHz,notebook/laptop,1920,1080,windows,ssd,16,gb,512,gb,16.1,16,gb
dell,$330.00 ,other,Wi-Fi,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",fully tested great condition one year warranty,intel,intel core i7 8th generation,2.6,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.6,512,gb
microsoft,$900.00 ,black,,Very Good - Refurbished,"The item shows minimal wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,other,intel i7-1265u,1.8,GHz,notebook/laptop,,,windows,ssd,,unknown,512,gb,13.5,32,gb
dell,$329.50 ,black,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",immaculate,nvidia,intel core i7 8th gen,2.2,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.6,32,gb
samsung,$159.00 ,silver,Built-in Microphone,Undefined,Undefined,undefined,other,qualcomm snapdragon 7c gen 2,2.55,GHz,notebook/laptop,1920,1080,windows,ssd,64,gb,64,gb,14,4,gb
other,$5.55 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
hp,$330.00 ,silver,"Bluetooth,  Built-in Microphone,  Built-in Webcam",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel core i3-1115g4,4.1,GHz,notebook/laptop,1920,1080,windows,ssd,0,gb,256,gb,15.6,8,gb
other,$32.53 ,other,,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
